tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
182,13854,0.4715605601270391,0.2007362494586401,0.5949906164284683,0.20427313411289158,0.4035657571820413,0.4661469611664501,0.09975458351378663,0.010321928684856358,0.0202107694528656,0.1466002598527501,0.1916414032048506,0.2530677060776671,0.2079543814060921
183,6559,0.47842658941911875,0.1960664735477969,0.5987193169690501,0.20521420948315292,0.7691721298978503,0.144076840981857,0.06281445342277786,0.0082329623418204,0.015703613355694465,0.12440920872084159,0.17395944503735325,0.24226254002134473,0.2633023326726635
184,423,0.46099290780141844,0.2198581560283688,0.508274231678487,0.2718676122931442,0.5177304964539007,0.2907801418439716,0.13947990543735225,0.02364066193853428,0.028368794326241134,0.11583924349881797,0.15839243498817968,0.2624113475177305,0.24349881796690306
185,12456,0.48273924213230573,0.22406872190109184,0.5659120102761721,0.21001926782273603,0.6706807964033398,0.2003853564547206,0.09633911368015415,0.011400128452151574,0.02119460500963391,0.11881824020552344,0.16987797045600514,0.2315350032113038,0.2557000642260758
186,2485,0.5541247484909457,0.21851106639839035,0.5814889336016097,0.2,0.7311871227364185,0.09336016096579478,0.1432595573440644,0.011267605633802818,0.020925553319919517,0.07243460764587525,0.13480885311871227,0.19476861167002013,0.379476861167002
187,7847,0.4953485408436345,0.2231426022683828,0.5584299732381802,0.218427424493437,0.6933860073913598,0.2175353638333121,0.06104243659997451,0.007901108703963298,0.02013508347139034,0.09876385879954122,0.16515865936026508,0.23818019625334522,0.27475468331846564
188,30844,0.4453378290753469,0.22882894566204123,0.5397484113603942,0.2314226429775645,0.351283880171184,0.5758332252626118,0.04727013357541175,0.007878355595901958,0.017734405394890417,0.1269939048113085,0.1817209181688497,0.24811956944624564,0.21433666191155493
189,12438,0.4758803666184274,0.22238301977809938,0.6213217559093102,0.15629522431259044,0.679289274803023,0.2157903199871362,0.07710242804309375,0.005788712011577424,0.02202926515516964,0.08465991316931983,0.14721016240553145,0.21265476764753174,0.3330921369995176
190,165,0.5878787878787879,0.24848484848484848,0.4121212121212121,0.3393939393939394,0.5757575757575758,0.22424242424242424,0.09696969696969697,0.04242424242424243,0.06060606060606061,0.11515151515151516,0.18181818181818182,0.17575757575757575,0.2787878787878788
191,25872,0.4671072974644403,0.20790816326530612,0.5444882498453927,0.24760358688930117,0.35095856524427954,0.46413110698824983,0.14710884353741496,0.012716450216450216,0.025085034013605442,0.13435374149659865,0.1856060606060606,0.2358534322820037,0.23627860235003093
